Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28420167,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,27/02/2026,18:36,16/03/2026,18:30,TXB9I68,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não,
28476355,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,19:11,16/03/2026,18:30,TXJ4B95,CA ,VIRTUS,TSI AT 1.0 4P,Nao,,,,Não,
28475238,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,13/03/2026,15:39,16/03/2026,18:34,TEM2I92,CA ,HB20S,PLATINUM TGDI AT 1.0,Nao,,,,Não,
28474545,BSB2,422542,AG,CO  ,BSB ,BSB2,E,13/03/2026,13:29,16/03/2026,19:00,TXD3D84,SU ,TERA,TSI AT,Nao,,,,Não,
28476511,BSB2,490094,OTA,CO  ,BSB ,BSB2,E,13/03/2026,19:52,16/03/2026,19:00,TXK3D22,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28481931,BSB2,494781,PJ,CO  ,BSB ,BSB2,E,15/03/2026,18:52,16/03/2026,19:00,TEU0E58,SV ,TRACKER,PREMIER AT TURBO 1.2,Nao,,,,Não,
28481932,BSB2,494781,PJ,CO  ,BSB ,BSB2,E,15/03/2026,18:54,16/03/2026,19:00,TZA5A32,SG ,COMPASS,LONGITUDE TURBO FLEX,Nao,,,,Não,
28471133,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,17:08,16/03/2026,19:00,SVC1G44,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28459741,BSB2,483866,PARCERIA,CO  ,BSB ,BSB2,E,09/03/2026,18:35,16/03/2026,19:00,TES4A56,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não,
28457469,BSB2,492269,OUTROS PF,CO  ,BSB ,BSB2,E,09/03/2026,11:39,16/03/2026,19:30,TYN3F64,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
