Placa,Modelo,Cor,Grupo,Tipo,KM,Loja Ope,Loja Loc,Regional Loc,Filial Loc,Status,Ult. RA,Loja Dev,Data Ret,Data Dev,Status RA,Reabertura RA,Ult. Nomrev,Dt Abert,Dt Fech,Data Fech Esper.,Status NR,Status Fech. NR,E/M,Qtd. Dias
TEU6F84,FORD                ,BRANCA              ,J  ,RANGER XL  2.0 4P   ,40919,BSB2,BSB2,CO  ,BSB ,LV ,28468566,BSB2,12/03/2026,14/03/2026,FEC,N,41124331,14/03/2026,,14/03/2026,LV ,ZZ ,E ,2
TXB9I90,CRETA               ,CINZA               ,SV ,LIMITED TGDI AT 1.0 ,31782,BSB2,BSB2,CO  ,BSB ,LV ,28453609,BSB2,08/03/2026,15/03/2026,FEC,N,41137091,16/03/2026,,16/03/2026,LV ,ZZ ,E ,0
TYP4J71,FIAT FASTBACK 1.0 TU,PRETO               ,SV ,P                   ,1314,BSB2,BSB2,CO  ,BSB ,LV ,28475500,BSB2,13/03/2026,15/03/2026,FEC,N,41136532,16/03/2026,,16/03/2026,LV ,ZZ ,E ,0
TYP4J78,FIAT FASTBACK 1.0 TU,BRANCO              ,SV ,P                   ,1108,BSB2,BSB2,CO  ,BSB ,LV ,28459059,BSB2,09/03/2026,15/03/2026,FEC,N,41137171,16/03/2026,,16/03/2026,LV ,ZZ ,E ,0
TYP4J85,FIAT FASTBACK 1.0 TU,BRANCO              ,SV ,P                   ,2145,BSB2,BSB2,CO  ,BSB ,LV ,28476718,BSB2,13/03/2026,15/03/2026,FEC,N,41137163,16/03/2026,,16/03/2026,LV ,ZZ ,E ,0
TEY3A66,SENTRA              ,CINZA               ,AT ,ADVANCE 2.0 4P      ,35982,GRU1,BSB2,CO  ,BSB ,LV ,28455203,BSB2,09/03/2026,16/03/2026,FEC,N,41137113,16/03/2026,,16/03/2026,LV ,ZZ ,E ,0
TEN9B37,MOBI                ,BRANCA              ,AM ,LIKE 1.0 4P         ,21440,GYN3,BSB2,CO  ,BSB ,LV ,28479384,BSB2,14/03/2026,16/03/2026,FEC,N,41137232,16/03/2026,,16/03/2026,LV ,ZZ ,E ,0
OPP6I50,ONIX                ,PRATA               ,B  ,MT 1.0 4P           ,53180,TXF3,BSB2,CO  ,BSB ,LV ,28472460,BSB2,13/03/2026,15/03/2026,FEC,N,41136981,16/03/2026,,16/03/2026,LV ,ZZ ,E ,0
